"","player_name","player_team","round","DSSal_Hist","dreamTeamPoints"
"3005","Daniel Talia","ADE",17,7570,48
"3006","Jack Hombsch","GCS",17,5730,46
"3013","Jake Kelly","ADE",17,10500,90
"3024","Brad Scheer","GCS",17,7350,56
"3041","Joshua Corbett","GCS",17,6120,38
"3043","Ben King","GCS",17,5000,28
"3048","Travis Boak","PTA",6,14540,127
"3049","Tom Rockliff","PTA",6,16080,107
"3050","Scott Lycett","PTA",6,9850,82
"3051","Brad Ebert","PTA",6,13620,97
"3052","Sam Gray","PTA",6,8790,122
"3053","Justin Westhoff","PTA",6,10570,95
"3054","Todd Goldstein","NTH",6,11200,96
"3055","Ollie Wines","PTA",6,13990,98
"3056","Sam Powell-Pepper","PTA",6,10030,78
"3057","Darcy Byrne-Jones","PTA",6,10030,57
"3058","Luke McDonald","NTH",6,7710,58
"3059","Jack Ziebell","NTH",6,10760,96
"3060","Ryan Burton","PTA",6,10490,68
"3061","Paddy Ryder","PTA",6,10000,48
"3062","Luke Davies-Uniacke","NTH",6,7460,59
"3063","Robbie Gray","PTA",6,11280,58
"3064","Trent Dumont","NTH",6,13740,67
"3065","Riley Bonner","PTA",6,7990,51
"3066","Jared Polec","NTH",6,12800,62
"3067","Aaron Hall","NTH",6,11390,82
"3068","Ben Cunnington","NTH",6,12950,108
"3069","Jamie Macmillan","NTH",6,11540,70
"3070","Scott D. Thompson","NTH",6,8620,89
"3071","Robbie Tarrant","NTH",6,9960,47
"3072","Willem Drew","PTA",6,9830,60
"3073","Jed Anderson","NTH",6,11560,91
"3074","Tarryn Thomas","NTH",6,5810,65
"3075","Xavier Duursma","PTA",6,9220,90
"3076","Shaun Atley","NTH",6,9870,86
"3077","Jasper Pittard","NTH",6,12270,75
"3078","Nick Larkey","NTH",6,5000,82
"3079","Zak Butters","PTA",6,8440,57
"3080","Dougal Howard","PTA",6,6920,58
"3081","Ben Brown","NTH",6,8190,49
"3082","Nathan Hrovat","NTH",6,7830,46
"3083","Dan Houston","PTA",6,10000,64
"3084","Cameron Zurhaar","NTH",6,6290,68
"3085","Todd Marshall","PTA",6,6420,33
"3086","Connor Rozee","PTA",6,10330,94
"3087","Jarrod Lienert","PTA",6,10260,68
"3089","Kayne Turner","NTH",6,7780,76
"3090","Sam Wright","NTH",6,10080,35
"3091","Mason Wood","NTH",6,8770,102
"3092","Tom Clurey","PTA",6,8700,59
"3139","Dylan Clarke","ESS",13,9520,67
"3140","Zach Merrett","ESS",13,15900,99
"3141","Matt Guelfi","ESS",13,8520,56
"3142","Josh Begley","ESS",13,6130,59
"3143","James Worpel","HAW",13,12860,110
"3144","Tom Scully","HAW",13,9500,106
"3145","Tom Bellchambers","ESS",13,10090,66
"3146","Ben McEvoy","HAW",13,13220,102
"3147","Dyson Heppell","ESS",13,13760,111
"3148","Liam Shiels","HAW",13,13920,109
"3149","Shaun Burgoyne","HAW",13,10090,51
"3150","James Sicily","HAW",13,13370,85
"3151","Dylan Shiel","ESS",13,14320,77
"3152","Jonathon Ceglar","HAW",13,9960,96
"3153","Jayden Laverde","ESS",13,8430,70
"3154","Luke Breust","HAW",13,10280,57
"3155","Ricky Henderson","HAW",13,14730,140
"3156","Michael Hurley","ESS",13,11820,111
"3157","James Cousins","HAW",13,10280,59
"3158","David Zaharakis","ESS",13,13000,85
"3159","Andrew McGrath","ESS",13,11220,74
"3160","Jaeger O'Meara","HAW",13,14350,74
"3161","Shaun McKernan","ESS",13,9060,73
"3162","Jake Stringer","ESS",13,9580,36
"3163","Isaac Smith","HAW",13,11270,111
"3164","Darcy Parish","ESS",13,12770,88
"3165","Dylan Moore","HAW",13,8250,56
"3166","Jack Gunston","HAW",13,12340,62
"3167","Kyle Langford","ESS",13,11350,82
"3168","Adam Saad","ESS",13,9720,82
"3169","Orazio Fantasia","ESS",13,11740,70
"3170","Cale Hooker","ESS",13,11370,100
"3171","Anthony McDonald-Tipungwuti","ESS",13,9200,48
"3172","Jarman Impey","HAW",13,10230,103
"3173","Paul Puopolo","HAW",13,8160,47
"3174","Conor McKenna","ESS",13,8890,83
"3175","Tim O'Brien","HAW",13,7640,55
"3176","Mason Redman","ESS",13,9460,54
"3177","James Frawley","HAW",13,6710,84
"3178","Ben Stratton","HAW",13,5770,39
"3179","Conor Glass","HAW",13,6170,53
"3180","Patrick Ambrose","ESS",13,5690,43
"3181","Kaiden Brand","HAW",13,6980,49
"3182","Blake Hardwick","HAW",13,10130,109
"3233","Rupert Wills","COL",8,5000,58
"3234","Matthew Broadbent","PTA",8,5000,61
"3235","Clayton Oliver","MEL",8,14040,161
"3236","Brodie Grundy","COL",8,15880,149
"3237","Adam Treloar","COL",8,16120,116
"3238","Jack Macrae","WBD",8,15100,98
"3239","Angus Brayshaw","MEL",8,14040,76
"3240","Stefan Martin","BRL",8,12490,77
"3241","Tom Rockliff","PTA",8,13860,149
"3242","Rowan Marshall","STK",8,12920,68
"3243","Lachie Neale","BRL",8,14410,91
"3244","Nathan Vardy","WCE",8,7460,66
"3245","Travis Boak","PTA",8,15150,113
"3246","Scott Pendlebury","COL",8,15000,90
"3247","Christian Petracca","MEL",8,9000,83
"3248","Josh Dunkley","WBD",8,14060,127
"3249","Jordan De Goey","COL",8,12300,110
"3250","Rory Laird","ADE",8,13540,105
"3251","Jack Crisp","COL",8,13280,105
"3252","Steele Sidebottom","COL",8,14170,112
"3253","Noah Answerth","BRL",8,7480,45
"3254","Willem Drew","PTA",8,9440,59
"3255","Dale Thomas","CAR",8,11650,80
"3256","Shannon Hurn","WCE",8,13340,102
"3257","Tom Phillips","COL",8,13860,123
"3258","James Harmes","MEL",8,13900,112
"3259","Jack Martin","GCS",8,12880,82
"3260","Elliot Yeo","WCE",8,13900,97
"3261","Scott Lycett","PTA",8,9170,67
"3262","Tom Liberatore","WBD",8,10330,83
"3263","Dayne Zorko","BRL",8,13350,134
"3264","Patrick Cripps","CAR",8,16000,115
"3265","Will Hoskin-Elliott","COL",8,8770,63
"3266","Max Gawn","MEL",8,14800,91
"3267","Wil Powell","GCS",8,7340,74
"3268","Andrew Gaff","WCE",8,16580,108
"3269","Toby McLean","WBD",8,11450,37
"3270","Bailey Smith","WBD",8,9300,56
"3271","Jamie Elliott","COL",8,9070,62
"3272","Christian Salem","MEL",8,12990,103
"3273","Jake Melksham","MEL",8,10040,111
"3275","Rory Sloane","ADE",8,14940,130
"3276","Karl Amon","PTA",8,6760,71
"3277","Darcy Moore","COL",8,7590,56
"3278","Jeremy Howe","COL",8,10110,80
"3279","Ben Reid","COL",8,8880,50
"3280","Ben Ainsworth","GCS",8,8630,88
"3281","Jamie Cripps","WCE",8,9260,89
"3282","Daniel Rich","BRL",8,12460,70
"3283","Jackson Trengove","WBD",8,11290,99
"3284","Oscar McInerney","BRL",8,7520,41
"3285","David Cuningham","CAR",8,8530,89
"3286","Brody Mihocek","COL",8,9710,83
"3287","Jaidyn Stephenson","COL",8,11170,77
"3288","Bayley Fritsch","MEL",8,8880,69
"3289","Brad Sheppard","WCE",8,12050,80
"3290","Jack Petruccelle","WCE",8,6800,53
"3291","Reilly O'Brien","ADE",8,11940,74
"3292","Caleb Daniel","WBD",8,14030,64
"3293","Hayden Crozier","WBD",8,11580,70
"3294","Will Hayes","WBD",8,8390,64
"3295","Chris Mayne","COL",8,12520,52
"3296","Sam Petrevski-Seton","CAR",8,11080,87
"3297","Tom Williamson","CAR",8,5000,56
"3298","Anthony Miles","GCS",8,11770,68
"3299","Tom McDonald","MEL",8,9320,68
"3301","Touk Miller","GCS",8,13070,68
"3302","Peter Wright","GCS",8,9810,66
"3303","Pearce Hanley","GCS",8,9120,84
"3305","Marty Hore","MEL",8,10610,81
"3306","Jay Lockhart","MEL",8,8340,92
"3307","Jack Darling","WCE",8,9650,60
"3308","Brad Crouch","ADE",8,14600,95
"3309","Cameron Ellis-Yolmen","ADE",8,11940,87
"3310","Aidyn Johnson","PTA",8,5230,52
"3311","Sam Powell-Pepper","PTA",8,10100,95
"3312","Marcus Bontempelli","WBD",8,16000,98
"3313","Lachie Hunter","WBD",8,14520,123
"3314","Mitch Robinson","BRL",8,13110,124
"3315","Fletcher Roberts","WBD",8,5000,34
"3316","Aaron Naughton","WBD",8,9110,92
"3317","Ed Curnow","CAR",8,11490,96
"3318","Matthew Kreuzer","CAR",8,11810,71
"3319","Jordan Roughead","COL",8,7310,50
"3320","Jack Silvagni","CAR",8,7950,54
"3321","Callum L. Brown","COL",8,9040,109
"3322","Josh Thomas","COL",8,8640,53
"3323","Nathan Jones","MEL",8,10580,114
"3324","Jack Viney","MEL",8,12280,73
"3325","Jayden Hunt","MEL",8,7700,63
"3326","Joshua Corbett","GCS",8,5700,63
"3327","Josh J. Kennedy","WCE",8,10470,55
"3328","Luke Shuey","WCE",8,13660,87
"3329","Luke Dunstan","STK",8,10800,101
"3330","Tom Lynch","ADE",8,12850,95
"3331","Taylor Walker","ADE",8,8680,56
"3332","Sam Gray","PTA",8,11720,83
"3333","Justin Westhoff","PTA",8,13200,37
"3334","Jarryd Lyons","BRL",8,11810,89
"3335","Jason Johannisen","WBD",8,12190,75
"3336","Matthew Suckling","WBD",8,12840,98
"3337","Tom Cutler","BRL",8,12420,77
"3338","Charlie Cameron","BRL",8,9820,38
"3339","Zaine Cordy","WBD",8,5960,33
"3340","Eric Hipwood","BRL",8,7420,81
"3341","Jarrod Berry","BRL",8,12440,63
"3342","Hugh McCluggage","BRL",8,13170,104
"3343","Alex Witherden","BRL",8,12260,88
"3345","Cameron Rayner","BRL",8,7480,32
"3346","Lachlan Young","WBD",8,7640,22
"3347","Charlie Curnow","CAR",8,9360,60
"3348","Marc Murphy","CAR",8,12980,110
"3349","Levi Greenwood","COL",8,9280,74
"3350","Tom Langdon","COL",8,10760,46
"3351","Brayden Maynard","COL",8,11410,73
"3352","Lachie Plowman","CAR",8,8710,56
"3353","Zac Fisher","CAR",8,11840,53
"3354","Will Setterfield","CAR",8,8620,57
"3355","Michael Gibbons","CAR",8,7720,76
"3356","Liam Stocker","CAR",8,5300,51
"3357","Sam Walsh","CAR",8,13180,70
"3358","Sam Frost","MEL",8,6470,77
"3359","Jeff Garlett","MEL",8,7780,46
"3360","Jarrod Harbrow","GCS",8,11450,51
"3361","Jarrod Witts","GCS",8,13670,75
"3362","Lachie Weller","GCS",8,11230,102
"3363","Darcy MacPherson","GCS",8,10830,117
"3364","Jack Bowes","GCS",8,12160,69
"3365","David Swallow","GCS",8,11870,108
"3366","Nick Holman","GCS",8,7980,109
"3367","Dean Kent","STK",8,8680,68
"3368","Jack Steele","STK",8,13440,90
"3369","Mark Hutchings","WCE",8,7910,71
"3370","Jeremy McGovern","WCE",8,10930,59
"3371","Jack Redden","WCE",8,14720,63
"3372","Blake Acres","STK",8,9260,73
"3373","Jack Billings","STK",8,13960,92
"3374","Jade Gresham","STK",8,10760,80
"3375","Jack Newnes","STK",8,12120,54
"3376","Sebastian Ross","STK",8,15720,94
"3377","Jack Sinclair","STK",8,10260,78
"3378","Dom Sheed","WCE",8,13520,94
"3379","Josh Battle","STK",8,8380,100
"3380","Ed Phillips","STK",8,10090,70
"3381","Ben Paton","STK",8,7950,70
"3382","Rory Atkins","ADE",8,12550,95
"3383","Eddie Betts","ADE",8,8340,31
"3384","Luke Brown","ADE",8,8160,65
"3385","Brodie Smith","ADE",8,12490,75
"3386","Riley Knight","ADE",8,10350,56
"3387","Dougal Howard","PTA",8,7040,67
"3388","Darcy Byrne-Jones","PTA",8,11220,71
"3389","Jake Kelly","ADE",8,9780,63
"3391","Hugh Greenwood","ADE",8,11870,93
"3392","Alex Keath","ADE",8,10280,91
"3393","Jarrod Lienert","PTA",8,10040,113
"3394","Paddy Ryder","PTA",8,10280,83
"3395","Kane Farrell","PTA",8,6840,39
"3396","Xavier Duursma","PTA",8,9770,84
"3397","Sam Lloyd","WBD",8,10190,107
"3404","Mitch Wallis","WBD",8,11510,76
"3405","Easton Wood","WBD",8,7310,42
"3406","Harris Andrews","BRL",8,9070,44
"3409","Darcy Gardiner","BRL",8,8680,58
"3410","Ryan Lester","BRL",8,9150,73
"3411","Daniel McStay","BRL",8,6510,76
"3416","Lincoln McCarthy","BRL",8,7360,68
"3418","Luke Hodge","BRL",8,9320,49
"3441","Billy Gowers","WBD",8,7760,39
"3443","Ed Richards","WBD",8,7630,61
"3455","Levi Casboult","CAR",8,7630,60
"3459","Jacob Weitering","CAR",8,8950,50
"3462","Caleb Marchbank","CAR",8,8390,94
"3463","Mitch McGovern","CAR",8,7990,69
"3484","Harry McKay","CAR",8,9780,49
"3493","Paddy Dow","CAR",8,8750,69
"3511","Oscar McDonald","MEL",8,5870,32
"3512","Billy Stretch","MEL",8,9970,76
"3520","Alex Sexton","GCS",8,9260,34
"3523","Jack Hombsch","GCS",8,5350,52
"3525","Jordan Murdoch","GCS",8,9170,43
"3526","Jordan Lewis","MEL",8,9060,69
"3528","Josh Wagner","MEL",8,7360,53
"3534","Sam Collins","GCS",8,6980,61
"3541","Declan Keilty","MEL",8,5000,46
"3547","Charlie Ballard","GCS",8,7420,36
"3558","Jack Lukosius","GCS",8,6280,24
"3570","Nathan Brown","STK",8,5000,25
"3572","Liam Duggan","WCE",8,10150,81
"3575","Will Schofield","WCE",8,5510,24
"3579","Josh Bruce","STK",8,7240,76
"3584","Shane Savage","STK",8,12580,96
"3586","Jimmy Webster","STK",8,9130,68
"3589","Thomas Cole","WCE",8,7780,45
"3590","Lewis Jetta","WCE",8,8920,36
"3593","Tim Membrey","STK",8,9290,70
"3598","Daniel McKenzie","STK",8,7340,53
"3603","Ben Long","STK",8,7300,24
"3609","Daniel Venables","WCE",8,6660,73
"3610","Jake Waterman","WCE",8,7120,64
"3617","Oscar Allen","WCE",8,6770,80
"3620","Liam Ryan","WCE",8,8140,85
"3625","Matthew Parker","STK",8,7680,32
"3626","Callum Wilkie","STK",8,7060,65
"3639","Kyle Hartigan","ADE",8,7420,29
"3642","David Mackay","ADE",8,9360,78
"3645","Daniel Talia","ADE",8,7820,56
"3653","Steven Motlop","PTA",8,9670,71
"3656","Tom Clurey","PTA",8,8660,54
"3660","Jordan Gallucci","ADE",8,7890,41
"3661","Elliott Himmelberg","ADE",8,9140,67
"3667","Dan Houston","PTA",8,10110,107
"3669","Todd Marshall","PTA",8,6410,39
"3673","Lachlan Murphy","ADE",8,7520,86
"3690","Connor Rozee","PTA",8,10660,72
"3692","Patrick Cripps","CAR",4,16510,163
"3693","Sebastian Ross","STK",4,12930,128
"3694","Paddy Dow","CAR",4,8370,69
"3695","Brayden Fiorini","GCS",4,13980,114
"3697","Jack Newnes","STK",4,11940,104
"3698","Will Setterfield","CAR",4,7500,70
"3699","Jack Steele","STK",4,14740,95
"3700","Rowan Marshall","STK",4,13040,88
"3701","Peter Wright","GCS",4,9390,50
"3702","Jack Bowes","GCS",4,12120,80
"3703","Matthew Lobbe","CAR",4,9240,58
"3704","Jarrod Witts","GCS",4,14040,126
"3705","Jack Sinclair","STK",4,9180,83
"3706","Jack Scrimshaw","HAW",4,7960,79
"3707","Marc Murphy","CAR",4,13020,135
"3708","Jack Martin","GCS",4,13210,55
"3709","Zac Fisher","CAR",4,9980,83
"3710","Ben McEvoy","HAW",4,13220,91
"3711","Charlie Curnow","CAR",4,9050,95
"3712","Michael Gibbons","CAR",4,5570,49
"3713","Sam Walsh","CAR",4,12450,119
"3714","Pearce Hanley","GCS",4,9240,60
"3715","David Swallow","GCS",4,11650,105
"3716","Ricky Henderson","HAW",4,13350,103
"3717","Anthony Miles","GCS",4,11250,73
"3718","Nic Newman","CAR",4,12080,85
"3719","James Sicily","HAW",4,13090,111
"3720","Isaac Smith","HAW",4,12250,71
"3721","Ed Curnow","CAR",4,12450,86
"3722","Luke Breust","HAW",4,10940,69
"3723","Josh Battle","STK",4,8020,72
"3724","Kade Simpson","CAR",4,12110,99
"3725","Sam Petrevski-Seton","CAR",4,10920,73
"3726","James Cousins","HAW",4,11870,71
"3727","David Mirra","HAW",4,9280,88
"3728","Jarrod Harbrow","GCS",4,11260,82
"3729","Jack Billings","STK",4,14120,124
"3730","Shane Savage","STK",4,10700,90
"3731","Jimmy Webster","STK",4,9920,55
"3732","James Worpel","HAW",4,13540,92
"3733","Chad Wingard","HAW",4,11770,49
"3734","Josh Bruce","STK",4,8710,41
"3735","Jade Gresham","STK",4,11820,75
"3736","Touk Miller","GCS",4,12220,149
"3737","Christopher Burgess","GCS",4,5280,27
"3738","Tom Scully","HAW",4,10900,98
"3739","Jarman Impey","HAW",4,9210,54
"3740","Jack Gunston","HAW",4,12710,59
"3741","Darcy MacPherson","GCS",4,10510,101
"3742","Callum Wilkie","STK",4,5620,72
"3743","Sam Collins","GCS",4,6880,57
"3744","Harry McKay","CAR",4,9370,33
"3745","Charlie Ballard","GCS",4,7120,62
"3746","Dean Kent","STK",4,7700,35
"3747","Daniel Howe","HAW",4,10630,80
"3748","Ben Long","STK",4,7450,64
"3749","Alex Sexton","GCS",4,11620,77
"3750","Ben Ainsworth","GCS",4,9710,84
"3751","Jack Lukosius","GCS",4,5750,42
"3753","Blake Hardwick","HAW",4,8830,68
"3754","Matthew Parker","STK",4,8000,30
"3755","Lachie Plowman","CAR",4,7460,85
"3756","Blake Acres","STK",4,10030,93
"3757","Conor Nash","HAW",4,6090,33
"3759","Jacob Weitering","CAR",4,8550,88
"3760","Caleb Marchbank","CAR",4,8210,68
"3761","Jack Hombsch","GCS",4,5870,19
"3762","Jordan Murdoch","GCS",4,9530,64
"3763","Dale Thomas","CAR",4,11900,96
"3764","Tim Membrey","STK",4,9650,45
"3765","Harry Morrison","HAW",4,9260,64
"3766","Hunter Clark","STK",4,8950,51
"3767","Levi Casboult","CAR",4,7820,43
"3768","Nick Holman","GCS",4,8170,81
"3769","Jack Lonie","STK",4,10310,97
"3770","Jonathon Ceglar","HAW",4,9810,62
"3771","Paul Puopolo","HAW",4,8690,70
"3772","Ben Stratton","HAW",4,7420,30
"3785","Mitch McGovern","CAR",4,9990,43
"3793","Liam Jones","CAR",4,7600,67
"3799","Jesse Joyce","GCS",4,8210,60
"3810","Lochie O'Brien","CAR",4,8200,57
"3828","Nathan Brown","STK",4,5000,25
"3856","Jarryd Roughead","HAW",4,10620,79
"3868","Ben Paton","STK",4,6160,52
"3879","Dylan Clarke","ESS",11,6250,109
"3880","Robbie Gray","PTA",11,10780,120
"3881","Andrew Gaff","WCE",11,15850,123
"3882","Elliot Yeo","WCE",11,15730,80
"3883","Nathan Vardy","WCE",11,9690,75
"3884","Zach Merrett","ESS",11,16530,102
"3885","Josh Dunkley","WBD",11,13570,119
"3886","David Cuningham","CAR",11,7990,76
"3887","Matthew Kreuzer","CAR",11,10960,122
"3888","Jack Macrae","WBD",11,14500,69
"3889","Travis Boak","PTA",11,15640,125
"3890","Tom Bellchambers","ESS",11,10760,49
"3891","Alex Fasolo","CAR",11,5000,22
"3892","Dyson Heppell","ESS",11,13300,116
"3893","Karl Amon","PTA",11,10270,92
"3894","Patrick Cripps","CAR",11,16060,63
"3895","David Zaharakis","ESS",11,13390,83
"3896","Sam Gray","PTA",11,11900,73
"3897","Justin Westhoff","PTA",11,11560,73
"3898","Ryan Gardner","WBD",11,5000,40
"3899","Luke Shuey","WCE",11,14840,97
"3900","Luke Dunstan","STK",11,12010,69
"3901","Lachie Hunter","WBD",11,13700,80
"3902","Shannon Hurn","WCE",11,14100,74
"3903","Jack Darling","WCE",11,9990,104
"3904","Dom Sheed","WCE",11,14360,85
"3905","Bailey Smith","WBD",11,9660,51
"3906","Sebastian Ross","STK",11,13460,73
"3907","Ed Curnow","CAR",11,12280,72
"3908","Josh Begley","ESS",11,5760,65
"3909","Darcy Byrne-Jones","PTA",11,12470,89
"3910","Jarrod Lienert","PTA",11,10760,116
"3911","Sam Powell-Pepper","PTA",11,11050,51
"3912","Rowan Marshall","STK",11,12670,126
"3913","Jack Redden","WCE",11,14050,82
"3914","Matthew Broadbent","PTA",11,11350,60
"3915","Xavier Duursma","PTA",11,10870,97
"3916","Shaun McKernan","ESS",11,9460,42
"3917","Andrew McGrath","ESS",11,10630,106
"3918","Matt Guelfi","ESS",11,7720,100
"3919","Scott Lycett","PTA",11,9370,99
"3920","Josh Battle","STK",11,9540,61
"3921","Nick Coffield","STK",11,7790,36
"3922","Kyle Langford","ESS",11,11350,69
"3923","Caleb Daniel","WBD",11,12130,104
"3924","Jade Gresham","STK",11,11460,92
"3925","Riley Bonner","PTA",11,7720,93
"3926","Dan Houston","PTA",11,10380,90
"3927","Darcy Parish","ESS",11,11600,105
"3928","Nic Newman","CAR",11,12930,82
"3929","Josh J. Kennedy","WCE",11,11230,58
"3930","Liam Ryan","WCE",11,7910,62
"3931","Dean Kent","STK",11,8460,59
"3932","Josh Bruce","STK",11,7760,66
"3933","Michael Hurley","ESS",11,11390,111
"3934","Liam Stocker","CAR",11,6700,32
"3935","Marcus Bontempelli","WBD",11,14150,96
"3936","Tom Liberatore","WBD",11,11560,97
"3937","Tim English","WBD",11,11730,80
"3938","Patrick Lipinski","WBD",11,9460,81
"3939","Jack Steele","STK",11,14300,72
"3940","Ryan Burton","PTA",11,10270,82
"3941","Paddy Ryder","PTA",11,10620,72
"3942","Robert Young","STK",11,5000,38
"3943","Levi Casboult","CAR",11,7470,60
"3944","Charlie Curnow","CAR",11,9710,75
"3945","Darcy Lang","CAR",11,9130,37
"3946","Jayden Laverde","ESS",11,8180,78
"3947","Michael Gibbons","CAR",11,7800,65
"3948","Toby McLean","WBD",11,10630,71
"3949","Jamie Cripps","WCE",11,10470,94
"3950","Jeremy McGovern","WCE",11,9860,76
"3951","Jackson Trengove","WBD",11,9860,34
"3952","Tom Jonas","PTA",11,9200,98
"3953","Jack Billings","STK",11,13190,64
"3954","Shane Savage","STK",11,11930,54
"3955","Steven Motlop","PTA",11,9330,88
"3956","Kane Farrell","PTA",11,6900,41
"3957","Connor Rozee","PTA",11,10290,65
"3958","Sam Petrevski-Seton","CAR",11,11530,89
"3959","Will Setterfield","CAR",11,8150,62
"3960","Sam Walsh","CAR",11,12360,77
"3961","Brad Sheppard","WCE",11,11800,89
"3962","Jack Newnes","STK",11,11130,80
"3963","Jack Sinclair","STK",11,10110,65
"3964","Darragh Joyce","STK",11,5000,53
"3965","Zak Butters","PTA",11,8020,79
"3966","Callum Wilkie","STK",11,7570,50
"3967","Caleb Marchbank","CAR",11,8240,42
"3968","Mark Baguley","ESS",11,6990,63
"3969","Adam Saad","ESS",11,9870,73
"3970","Harry McKay","CAR",11,9420,67
"3971","Paddy Dow","CAR",11,8730,67
"3972","Mark Hutchings","WCE",11,7990,78
"3973","Lewis Jetta","WCE",11,8440,82
"3974","Dougal Howard","PTA",11,8310,88
"3975","Tim Membrey","STK",11,9600,70
"3976","Ben Long","STK",11,6720,68
"3977","Ed Phillips","STK",11,9280,56
"3978","Matthew Parker","STK",11,7150,57
"3979","Patrick Ambrose","ESS",11,5670,30
"3980","Anthony McDonald-Tipungwuti","ESS",11,9860,86
"3981","Conor McKenna","ESS",11,8660,86
"3982","Lachie Plowman","CAR",11,9210,38
"3983","Mason Redman","ESS",11,9590,63
"3984","Matthew Kennedy","CAR",11,9950,33
"3985","Jack Silvagni","CAR",11,8260,53
"3986","Aaron Francis","ESS",11,8730,29
"3987","Zac Fisher","CAR",11,10300,52
"3988","Cale Hooker","ESS",11,10700,116
"3989","Sam Lloyd","WBD",11,11670,95
"3990","Matthew Suckling","WBD",11,12300,86
"3991","Easton Wood","WBD",11,6650,58
"3992","Liam Duggan","WCE",11,9980,73
"3993","Jake Waterman","WCE",11,7100,104
"3994","Oscar Allen","WCE",11,9190,71
"3995","Jack Petruccelle","WCE",11,7770,44
"3996","Aaron Naughton","WBD",11,9310,41
"3997","Lachlan Young","WBD",11,6490,48
"4001","Nathan Brown","STK",11,5480,12
"4012","Jarryn Geary","STK",11,10700,34
"4024","Tom Clurey","PTA",11,8090,58
"4056","Jacob Weitering","CAR",11,8090,59
"4085","Ben McNiece","ESS",11,5950,60
"4106","Jason Johannisen","WBD",11,12610,90
"4114","Will Schofield","WCE",11,5000,41
"4120","Thomas Cole","WCE",11,7940,58
"4122","Zaine Cordy","WBD",11,5330,51
"4123","Bailey Dale","WBD",11,8260,79
"4127","Bailey Williams","WBD",11,10440,63
"4133","Willie Rioli","WCE",11,9870,68
"4143","Billy Gowers","WBD",11,7070,43
"4159","Patrick Cripps","CAR",18,15290,55
"4160","Scott Lycett","PTA",18,13170,79
"4161","Josh Deluca","CAR",18,5000,35
"4162","Sam Walsh","CAR",18,12830,89
"4163","Ed Curnow","CAR",18,13230,125
"4164","Marc Murphy","CAR",18,13680,74
"4165","Tom Rockliff","PTA",18,15150,90
"4166","Ryley Stoddart","SYD",18,5000,20
"4167","Jake Lloyd","SYD",18,14840,132
"4168","Toby Greene","GWS",18,13320,115
"4169","Jacob Dawson","GCS",18,6280,48
"4170","Shai Bolton","RIC",18,10270,71
"4171","Corey Ellis","GCS",18,7210,69
"4172","Lachie Neale","BRL",18,14480,84
"4173","James Rowbottom","SYD",18,8510,81
"4174","Harry McKay","CAR",18,8950,102
"4175","Jake Stein","GWS",18,5650,31
"4176","Levi Casboult","CAR",18,9550,95
"4177","Nic Newman","CAR",18,12950,94
"4178","Hayden McLean","SYD",18,5000,87
"4179","Isaac Heeney","SYD",18,12570,76
"4180","Sean Lemmens","GCS",18,6800,71
"4181","Jarrod Witts","GCS",18,13850,97
"4182","Darcy Tucker","FRE",18,10490,51
"4183","Will Setterfield","CAR",18,9990,72
"4184","Brodie Grundy","COL",18,17700,181
"4185","Dayne Zorko","BRL",18,15510,103
"4186","Connor Blakely","FRE",18,11830,79
"4187","Justin Westhoff","PTA",18,11140,93
"4188","David Mundy","FRE",18,12270,74
"4189","Matthew Kreuzer","CAR",18,11950,43
"4190","Kade Simpson","CAR",18,9730,90
"4191","Lachie Whitfield","GWS",18,17180,109
"4192","Jeremy Howe","COL",18,8880,81
"4193","Harry Perryman","GWS",18,11090,55
"4194","Tom J. Lynch","RIC",18,7840,100
"4195","Travis Boak","PTA",18,14870,96
"4196","Adam Treloar","COL",18,16040,111
"4197","Isaac Quaynor","COL",18,7400,61
"4198","Jarryd Lyons","BRL",18,14500,107
"4199","Ryan Clarke","SYD",18,9010,66
"4200","Andrew Brayshaw","FRE",18,9010,101
"4201","Robbie Gray","PTA",18,13250,71
"4202","Ivan Soldo","RIC",18,9480,80
"4203","Zac Fisher","CAR",18,9190,77
"4204","Lincoln McCarthy","BRL",18,10770,53
"4205","Ed Langdon","FRE",18,11920,81
"4206","Dustin Martin","RIC",18,14100,94
"4207","Jack Graham","RIC",18,11240,79
"4208","Jack Silvagni","CAR",18,10150,83
"4209","Will Brodie","GCS",18,11460,113
"4210","Brett Deledio","GWS",18,10580,51
"4211","Tim Taranto","GWS",18,16980,145
"4212","Josh P. Kennedy","SYD",18,14070,94
"4213","Reece Conca","FRE",18,10790,108
"4214","Kane Lambert","RIC",18,12840,76
"4215","Dion Prestia","RIC",18,14000,110
"4216","Jayden Short","RIC",18,9900,49
"4217","Sam Day","GCS",18,8720,54
"4218","Alex Sexton","GCS",18,7360,66
"4219","Brayden Fiorini","GCS",18,14550,125
"4220","Darcy MacPherson","GCS",18,13360,122
"4221","Jack Lukosius","GCS",18,7210,68
"4222","Zac Williams","GWS",18,12620,122
"4223","Jack Crisp","COL",18,14400,101
"4224","Jacob Hopper","GWS",18,13920,81
"4225","Tom Phillips","COL",18,12870,72
"4226","Brayden Sier","COL",18,8770,59
"4227","Brody Mihocek","COL",18,10550,46
"4228","Alex Witherden","BRL",18,10790,60
"4229","Cameron Rayner","BRL",18,5900,28
"4230","Michael Walters","FRE",18,13110,95
"4231","Bradley Hill","FRE",18,12390,85
