"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",8,5,0,0,130
"Erin Phillips","ADEL",5,0,0,0,94
"Ashleigh Woodland","ADEL",0,0,0,0,87
"Ebony Marinoff","ADEL",12,0,0,0,70
"Stevie-Lee Thompson","ADEL",0,0,0,0,60
"Sarah Allan","ADEL",0,0,1,1,55
"Montana McKinnon","ADEL",7,18,0,0,52
"Eloise Jones","ADEL",0,0,0,0,48
"Jasmine Simmons","ADEL",0,0,0,0,46
"Rachelle Martin","ADEL",8,0,0,0,43
"Najwa Allen","ADEL",0,0,0,0,42
"Danielle Ponter","ADEL",1,0,0,0,42
"Teah Charlton","ADEL",1,0,0,0,39
"Caitlin Gould","ADEL",5,16,0,0,36
"Chelsea Randall","ADEL",0,0,1,1,35
"Nikki Gore","ADEL",0,0,0,0,32
"Hannah Munyard","ADEL",0,0,0,0,27
"Marijana Rajcic","ADEL",0,0,1,1,25
"Justine Mules","ADEL",0,0,0,0,24
"Hannah Button","ADEL",1,0,0,0,20
"Chelsea Biddell","ADEL",0,0,3,3,12
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Angela Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Lisa Whiteley","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Madison Newman","ADEL",0,0,0,0,0
"Ailish Considine","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Alexandra Anderson","BL",0,0,0,0,0
"Orla O'Dwyer","BL",0,0,0,0,0
"Emily Bates","BL",0,0,0,0,0
"Jade Ellenger","BL",0,0,0,0,0
"Natalie Grider","BL",0,0,0,0,0
"Sophie Conway","BL",0,0,0,0,0
"Shannon Campbell","BL",0,0,0,0,0
"Breanna Koenen","BL",0,0,0,0,0
"Jesse Wardlaw","BL",0,0,0,0,0
"Isabel Dawes","BL",0,0,0,0,0
"Phoebe Monahan","BL",0,0,0,0,0
"Taylor Smith","BL",0,0,0,0,0
"Greta Bodey","BL",0,0,0,0,0
"Tahlia Hickie","BL",0,0,0,0,0
"Catherine Svarc","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Jessica Wuetschner","BL",0,0,0,0,0
"Indy Tahau","BL",0,0,0,0,0
"Courtney Hodder","BL",0,0,0,0,0
"Dakota Davidson","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Zimmorlei Farquharson","BL",0,0,0,0,0
"Ruby Svarc","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Lucinda Pullar","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Kerryn Harrington","CARL",0,0,2,2,107
"Madison Prespakis","CARL",9,0,0,0,99
"Georgia Gee","CARL",0,0,0,0,79
"Breann Moody","CARL",9,29,0,0,77
"Lucy McEvoy","CARL",6,0,0,0,72
"Gabriella Pound","CARL",0,0,2,2,60
"Abbie McKay","CARL",7,0,0,0,59
"Nicola Stevens","CARL",0,0,0,0,58
"Jessica Dal Pos","CARL",1,0,0,0,57
"Elise O'Dea","CARL",3,0,0,0,56
"Jess Good","CARL",1,20,0,0,52
"Madeline Guerin","CARL",4,0,0,0,52
"Lauren Brazzale","CARL",0,0,0,0,43
"Paige Trudgeon","CARL",0,0,0,0,43
"Courtney Jones","CARL",0,0,0,0,41
"Vaomua Laloifi","CARL",0,0,1,1,30
"Daisy Walker","CARL",0,0,0,0,30
"Natalie Plane","CARL",0,0,0,0,26
"Darcy Vescio","CARL",0,0,0,0,23
"Annie Lee","CARL",0,0,0,0,23
"Charlotte Hammans","CARL",0,0,0,0,13
"Brooke Walker","CARL",0,0,0,0,0
"Grace Egan","CARL",0,0,0,0,0
"Charlotte Wilson","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Mimi Hill","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Keeley Sherar","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Brittany Bonnici","COLL",11,0,0,0,133
"Jaimee Lambert","COLL",10,1,0,0,91
"Mikala Cann","COLL",6,0,0,0,68
"Jordyn Allen","COLL",0,0,0,0,56
"Ebony O'Dea","COLL",7,0,0,0,52
"Alison Downie","COLL",11,41,0,0,50
"Sarah Rowe","COLL",0,0,0,0,49
"Lauren Butler","COLL",0,0,1,1,48
"Stacey Livingstone","COLL",0,0,1,1,47
"Aishling Sheridan","COLL",2,0,0,0,46
"Sabrina Frederick","COLL",0,5,0,0,41
"Eloise Chaston","COLL",0,0,0,0,33
"Ruby Schleicher","COLL",0,0,0,0,31
"Amelia Velardo","COLL",0,0,0,0,31
"Aliesha Newman","COLL",0,0,0,0,30
"Alana Porter","COLL",0,0,0,0,28
"Eliza James","COLL",0,0,0,0,25
"Sophie Casey","COLL",0,0,0,0,24
"Imogen Barnett","COLL",0,0,0,0,9
"Sophie Alexander","COLL",0,0,0,0,8
"Erica Fowler","COLL",1,9,0,0,7
"Brianna Davey","COLL",0,0,0,0,0
"Stephanie Chiocci","COLL",0,0,0,0,0
"Chloe Molloy","COLL",0,0,0,0,0
"Tarni Brown","COLL",0,0,0,0,0
"Jordan Membrey","COLL",0,0,0,0,0
"Ashleigh Brazill","COLL",0,0,0,0,0
"Bella Smith","COLL",0,0,0,0,0
"Olivia Meagher","COLL",0,0,0,0,0
"Joanna Lin","COLL",0,0,0,0,0
"Abbi Moloney","COLL",0,0,0,0,0
"Imogen Purcell","COLL",0,0,0,0,0
"Hayley Miller","FRE",7,0,0,0,105
"Kiara Bowers","FRE",11,0,0,0,89
"Mim Strom","FRE",8,57,0,0,70
"Dana East","FRE",6,0,0,0,65
"Gabby O'Sullivan","FRE",6,0,0,0,64
"Ebony Antonio","FRE",0,0,1,1,53
"Gemma Houghton","FRE",0,4,0,0,49
"Laura Pugh","FRE",0,0,2,2,43
