"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Ebony Marinoff","ADEL",9,0,0,0,140
"Anne Hatchard","ADEL",9,0,0,0,119
"Montana McKinnon","ADEL",6,21,0,0,73
"Erin Phillips","ADEL",10,5,0,0,71
"Eloise Jones","ADEL",0,0,0,0,60
"Caitlin Gould","ADEL",6,22,0,0,50
"Rachelle Martin","ADEL",0,0,0,0,49
"Danielle Ponter","ADEL",3,0,0,0,46
"Ailish Considine","ADEL",0,0,0,0,46
"Stevie-Lee Thompson","ADEL",0,0,0,0,44
"Ashleigh Woodland","ADEL",0,0,0,0,44
"Nikki Gore","ADEL",0,0,0,0,42
"Lisa Whiteley","ADEL",0,0,0,0,41
"Justine Mules","ADEL",0,0,0,0,38
"Marijana Rajcic","ADEL",0,0,0,0,37
"Najwa Allen","ADEL",0,0,0,0,36
"Chelsea Biddell","ADEL",0,0,3,3,32
"Hannah Munyard","ADEL",0,0,0,0,31
"Maddi Newman","ADEL",0,0,2,2,29
"Sarah Allan","ADEL",0,0,1,1,28
"Hannah Button","ADEL",5,0,0,0,23
"Teah Charlton","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Emily Bates","BL",9,0,0,0,86
"Greta Bodey","BL",0,0,0,0,82
"Catherine Svarc","BL",8,0,0,0,78
"Alexandra Anderson","BL",5,0,0,0,70
"Orla O'Dwyer","BL",1,0,0,0,60
"Natalie Grider","BL",0,0,0,0,50
"Tahlia Hickie","BL",9,45,0,0,50
"Ruby Svarc","BL",0,0,0,0,47
"Phoebe Monahan","BL",0,0,1,1,41
"Courtney Hodder","BL",0,0,0,0,40
"Jesse Wardlaw","BL",0,5,0,0,39
"Sophie Conway","BL",0,0,0,0,39
"Zimmorlei Farquharson","BL",0,0,0,0,37
"Jade Ellenger","BL",0,0,0,0,36
"Breanna Koenen","BL",0,0,1,1,36
"Taylor Smith","BL",1,2,0,0,35
"Lucinda Pullar","BL",0,0,0,0,31
"Shannon Campbell","BL",0,0,3,2,29
"Isabel Dawes","BL",7,0,0,0,27
"Dakota Davidson","BL",0,0,0,0,23
"Indy Tahau","BL",0,0,0,0,16
"Jessica Wuetschner","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
