"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Roxanne Roux","FRE",2,14,0,0,85
"Gabby O'Sullivan","FRE",6,0,0,0,83
"Angelique Stannett","FRE",0,0,0,0,67
"Aine Tighe","FRE",0,0,0,0,62
"Gemma Houghton","FRE",0,3,0,0,59
"Stephanie Cain","FRE",0,0,0,0,52
"Kara Antonio","FRE",0,0,0,0,52
"Jessica Low","FRE",0,0,0,0,50
"Airlie Runnalls","FRE",4,0,0,0,47
"Sarah Verrier","FRE",0,0,0,0,46
"Emma O'Driscoll","FRE",0,0,0,0,44
"Mikayla Hyde","FRE",0,0,0,0,38
"Dana East","FRE",5,0,0,0,37
"Mim Strom","FRE",8,37,0,0,28
"Laura Pugh","FRE",0,0,1,1,26
"Makaela Tuhakaraina","FRE",0,0,0,0,22
"Ann McMahon","FRE",0,0,0,0,17
"Jasmin Stewart","FRE",1,0,0,0,17
"Tiah Toth","FRE",0,0,0,0,0
"Matilda Sergeant","FRE",0,0,0,0,0
"Janelle Cuthbertson","FRE",0,0,0,0,0
"Ashley Sharp","FRE",0,0,0,0,0
"Sabreena Duffy","FRE",0,0,0,0,0
"Philipa Seth","FRE",0,0,0,0,0
"Mikayla Morrison","FRE",0,0,0,0,0
"Bianca Webb","FRE",0,0,0,0,0
"Sarah Wielstra","FRE",0,0,0,0,0
"Amy Franklin","FRE",0,0,0,0,0
"Maggie Maclachlan","FRE",0,0,0,0,0
"Alison Drennan","GCFC",7,0,0,0,98
"Tara Bohanna","GCFC",0,2,0,0,94
"Jamie Stanton","GCFC",12,0,0,0,71
"Claudia Whitfort","GCFC",8,0,0,0,64
"Kate Surman","GCFC",0,0,0,0,62
"Charlie Rowbottom","GCFC",12,1,0,0,57
"Lauren Ahrens","GCFC",0,0,1,1,57
"Sarah Perkins","GCFC",0,2,0,0,55
"Daisy D'Arcy","GCFC",0,0,2,0,50
"Elizabeth Keaney","GCFC",0,0,0,0,49
"Jacqui Yorston","GCFC",3,0,0,0,49
"Lauren Bella","GCFC",13,34,0,0,40
"Kalinda Howarth","GCFC",0,0,1,1,39
"Dee Heslop","GCFC",0,0,0,0,39
"Serene Watson","GCFC",0,0,0,0,38
"Lucy Single","GCFC",0,0,0,0,28
"Hannah Dunn","GCFC",0,0,0,0,24
"Jacqui Dupuy","GCFC",1,8,0,0,24
"Cheyenne Hammond","GCFC",0,0,0,0,23
"Ashanti Bush","GCFC",0,0,0,0,12
"Jade Pregelj","GCFC",0,0,0,0,6
"Ellie Hampson","GCFC",0,0,0,0,0
"Vivien Saad","GCFC",0,0,0,0,0
"Tori Groves-Little","GCFC",0,0,0,0,0
"Alana Barba","GCFC",0,0,0,0,0
"Brittany Perry","GCFC",0,0,0,0,0
"Janet Baird","GCFC",0,0,0,0,0
"Emma Pittman","GCFC",0,0,0,0,0
"Wallis Randell","GCFC",0,0,0,0,0
"Annise Bradfield","GCFC",0,0,0,0,0
"Maddison Levi","GCFC",0,0,0,0,0
"Teagan Levi","GCFC",0,0,0,0,0
"Giselle Davies","GCFC",0,0,0,0,0
"Shannon Danckert","GCFC",0,0,0,0,0
"Rebecca Webster","GEEL",10,0,0,0,61
"Georgie Rankin","GEEL",0,0,1,0,57
"Amy McDonald","GEEL",11,0,0,0,56
"Maddy McMahon","GEEL",0,0,0,0,53
"Chantel Emonson","GEEL",0,0,0,0,48
"Meghan McDonald","GEEL",0,0,4,3,47
"Chloe Scheer","GEEL",0,0,0,0,44
"Kate Darby","GEEL",5,25,0,0,42
"Darcy Moloney","GEEL",3,0,0,0,39
"Julia Crockett-Grills","GEEL",1,0,0,0,37
"Madeline Keryk","GEEL",0,0,3,2,36
"Annabel Johnson","GEEL",0,0,0,0,36
"Zali Friswell","GEEL",0,0,0,0,34
"Sophie Van De Heuvel","GEEL",0,0,0,0,32
"Georgie Prespakis","GEEL",8,0,0,0,31
"Olivia Fuller","GEEL",6,33,0,0,27
"Phoebe McWilliams","GEEL",0,0,0,0,21
"Gabbi Featherston","GEEL",0,0,0,0,16
"Rachel Kearns","GEEL",0,0,0,0,15
"Madisen Maguire","GEEL",0,0,0,0,10
"Jordan Ivey","GEEL",0,0,0,0,9
"Nina Morrison","GEEL",0,0,0,0,0
"Claudia Gunjaca","GEEL",0,0,0,0,0
"Laura Gardiner","GEEL",0,0,0,0,0
"Danielle Higgins","GEEL",0,0,0,0,0
"Georgia Clarke","GEEL",0,0,0,0,0
"Rene Caris","GEEL",0,0,0,0,0
"Denby Taylor","GEEL",0,0,0,0,0
"Millie Brown","GEEL",0,0,0,0,0
"Renee Garing","GEEL",0,0,0,0,0
