"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",9,0,0,0,121
"Ebony Marinoff","ADEL",9,1,0,0,108
"Danielle Ponter","ADEL",0,0,0,0,89
"Teah Charlton","ADEL",4,0,0,0,63
"Eloise Jones","ADEL",0,0,0,0,61
"Rachelle Martin","ADEL",3,0,0,0,57
"Stevie-Lee Thompson","ADEL",0,0,0,0,56
"Hannah Munyard","ADEL",0,0,0,0,50
"Chelsea Biddell","ADEL",0,0,2,2,49
"Caitlin Gould","ADEL",4,13,0,0,45
"Justine Mules","ADEL",0,0,0,0,45
"Najwa Allen","ADEL",0,0,0,0,40
"Marijana Rajcic","ADEL",0,0,0,0,39
"Ashleigh Woodland","ADEL",0,0,0,0,37
"Maddi Newman","ADEL",0,0,1,1,35
"Sarah Allan","ADEL",0,0,1,1,33
"Montana McKinnon","ADEL",5,20,0,0,32
"Ailish Considine","ADEL",0,0,0,0,31
"Abbie Ballard","ADEL",0,0,0,0,24
"Lisa Whiteley","ADEL",0,0,0,0,14
"Hannah Button","ADEL",2,0,0,0,3
"Erin Phillips","ADEL",0,0,0,0,0
"Nikki Gore","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Catherine Svarc","BL",10,0,0,0,114
"Emily Bates","BL",19,0,0,0,108
"Sophie Conway","BL",0,0,0,0,94
"Alexandra Anderson","BL",21,0,0,0,85
"Tahlia Hickie","BL",21,47,0,0,77
"Jesse Wardlaw","BL",1,6,0,0,72
"Courtney Hodder","BL",5,0,0,0,71
"Isabel Dawes","BL",14,0,0,0,67
"Jade Ellenger","BL",0,0,0,0,63
"Greta Bodey","BL",0,0,0,0,60
"Taylor Smith","BL",1,14,0,0,58
"Natalie Grider","BL",0,0,0,0,55
"Dakota Davidson","BL",0,2,0,0,53
"Zimmorlei Farquharson","BL",0,0,0,0,51
"Ruby Svarc","BL",0,0,0,0,38
"Phoebe Monahan","BL",0,0,0,0,31
"Breanna Koenen","BL",0,0,0,0,26
"Shannon Campbell","BL",0,0,0,0,24
"Orla O'Dwyer","BL",0,0,0,0,22
"Lucinda Pullar","BL",0,0,0,0,19
"Indy Tahau","BL",0,0,0,0,16
"Jessica Wuetschner","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Gabriella Pound","CARL",0,0,2,2,70
"Breann Moody","CARL",14,35,0,0,70
"Darcy Vescio","CARL",0,0,0,0,69
"Abbie McKay","CARL",3,0,0,0,68
"Madison Prespakis","CARL",7,0,0,0,67
"Keeley Sherar","CARL",0,0,0,0,66
"Elise O'Dea","CARL",6,0,0,0,59
"Georgia Gee","CARL",0,0,0,0,58
"Paige Trudgeon","CARL",0,0,0,0,55
"Kerryn Harrington","CARL",0,0,1,1,54
"Lucy McEvoy","CARL",0,0,0,0,54
"Daisy Walker","CARL",0,0,0,0,50
"Mimi Hill","CARL",9,0,0,0,48
"Grace Egan","CARL",7,0,0,0,46
"Jess Good","CARL",1,12,0,0,43
"Vaomua Laloifi","CARL",0,0,0,0,41
"Nicola Stevens","CARL",0,0,0,0,39
"Madeline Guerin","CARL",9,0,0,0,37
"Jessica Dal Pos","CARL",4,0,0,0,36
"Courtney Jones","CARL",0,0,0,0,34
"Natalie Plane","CARL",0,0,0,0,25
"Lauren Brazzale","CARL",0,0,0,0,0
"Brooke Walker","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Charlotte Wilson","CARL",0,0,0,0,0
"Annie Lee","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Jaimee Lambert","COLL",15,0,0,0,118
"Mikala Cann","COLL",6,0,0,0,88
"Ruby Schleicher","COLL",0,0,0,0,76
"Sarah Rowe","COLL",0,0,0,0,75
"Chloe Molloy","COLL",16,0,0,0,70
"Sabrina Frederick","COLL",5,18,0,0,69
"Eliza James","COLL",0,0,0,0,63
"Alison Downie","COLL",15,40,0,0,60
"Amelia Velardo","COLL",0,0,0,0,58
"Alana Porter","COLL",0,0,0,0,58
"Stephanie Chiocci","COLL",13,0,0,0,53
"Jordyn Allen","COLL",0,0,1,1,43
"Sophie Casey","COLL",0,0,0,0,42
"Aishling Sheridan","COLL",5,0,0,0,40
"Lauren Butler","COLL",0,0,3,3,37
"Tarni Brown","COLL",1,0,0,0,35
"Stacey Livingstone","COLL",0,0,1,0,30
"Abbi Moloney","COLL",0,0,0,0,19
"Brittany Bonnici","COLL",4,0,0,0,18
"Sophie Alexander","COLL",0,1,0,0,17
"Aliesha Newman","COLL",0,0,0,0,9
"Ebony O'Dea","COLL",0,0,0,0,0
"Erica Fowler","COLL",0,0,0,0,0
"Eloise Chaston","COLL",0,0,0,0,0
"Brianna Davey","COLL",0,0,0,0,0
"Bella Smith","COLL",0,0,0,0,0
"Imogen Barnett","COLL",0,0,0,0,0
"Jordan Membrey","COLL",0,0,0,0,0
"Ashleigh Brazill","COLL",0,0,0,0,0
"Olivia Meagher","COLL",0,0,0,0,0
"Joanna Lin","COLL",0,0,0,0,0
"Imogen Purcell","COLL",0,0,0,0,0
"Airlie Runnalls","FRE",0,0,0,0,90
"Laura Pugh","FRE",0,0,2,2,85
"Stephanie Cain","FRE",7,0,0,0,84
"Sarah Verrier","FRE",0,0,2,1,84
"Gabby O'Sullivan","FRE",8,0,0,0,71
"Angelique Stannett","FRE",0,0,1,1,71
"Jessica Low","FRE",0,0,0,0,56
"Hayley Miller","FRE",9,0,0,0,55
"Ebony Antonio","FRE",0,0,0,0,54
"Aine Tighe","FRE",0,0,2,2,54
"Emma O'Driscoll","FRE",0,0,0,0,53
"Gemma Houghton","FRE",2,7,0,0,50
"Mim Strom","FRE",7,27,0,0,47
"Tiah Toth","FRE",0,0,0,0,38
"Dana East","FRE",3,0,0,0,33
"Makaela Tuhakaraina","FRE",0,0,0,0,31
"Kara Antonio","FRE",0,0,0,0,30
"Jasmin Stewart","FRE",0,0,0,0,28
"Mikayla Morrison","FRE",0,0,0,0,26
"Mikayla Hyde","FRE",0,0,0,0,22
"Amy Franklin","FRE",0,0,0,0,17
"Kiara Bowers","FRE",0,0,0,0,0
"Roxanne Roux","FRE",0,0,0,0,0
"Ann McMahon","FRE",0,0,0,0,0
"Matilda Sergeant","FRE",0,0,0,0,0
"Janelle Cuthbertson","FRE",0,0,0,0,0
"Bianca Webb","FRE",0,0,0,0,0
"Ashley Sharp","FRE",0,0,0,0,0
"Sabreena Duffy","FRE",0,0,0,0,0
"Philipa Seth","FRE",0,0,0,0,0
"Sarah Wielstra","FRE",0,0,0,0,0
"Maggie Maclachlan","FRE",0,0,0,0,0
"Jamie Stanton","GCFC",10,0,0,0,67
"Vivien Saad","GCFC",0,0,0,0,65
"Tara Bohanna","GCFC",0,2,0,0,65
"Sarah Perkins","GCFC",0,4,0,0,64
"Alison Drennan","GCFC",9,0,0,0,60
"Charlie Rowbottom","GCFC",7,0,0,0,51
"Lauren Ahrens","GCFC",0,0,3,3,50
"Ellie Hampson","GCFC",5,0,0,0,50
"Claudia Whitfort","GCFC",7,0,0,0,44
"Kate Surman","GCFC",0,0,0,0,43
"Jacqui Dupuy","GCFC",4,16,0,0,43
"Tori Groves-Little","GCFC",0,0,0,0,40
"Serene Watson","GCFC",0,0,0,0,34
"Lauren Bella","GCFC",9,33,0,0,31
"Jacqui Yorston","GCFC",1,0,0,0,29
"Hannah Dunn","GCFC",0,0,1,0,26
"Elizabeth Keaney","GCFC",0,0,0,0,24
"Lucy Single","GCFC",0,0,0,0,21
"Kalinda Howarth","GCFC",0,0,0,0,20
"Shannon Danckert","GCFC",0,0,0,0,20
"Daisy D'Arcy","GCFC",0,0,0,0,8
"Dee Heslop","GCFC",0,0,0,0,0
"Cheyenne Hammond","GCFC",0,0,0,0,0
"Jade Pregelj","GCFC",0,0,0,0,0
"Wallis Randell","GCFC",0,0,0,0,0
"Brittany Perry","GCFC",0,0,0,0,0
"Ashanti Bush","GCFC",0,0,0,0,0
"Alana Barba","GCFC",0,0,0,0,0
"Janet Baird","GCFC",0,0,0,0,0
"Emma Pittman","GCFC",0,0,0,0,0
"Annise Bradfield","GCFC",0,0,0,0,0
"Maddison Levi","GCFC",0,0,0,0,0
"Teagan Levi","GCFC",0,0,0,0,0
"Giselle Davies","GCFC",0,0,0,0,0
"Amy McDonald","GEEL",9,0,0,0,95
"Rebecca Webster","GEEL",1,0,0,0,88
"Phoebe McWilliams","GEEL",0,10,0,0,72
"Olivia Barber","GEEL",9,36,0,0,66
"Maddy McMahon","GEEL",0,0,0,0,63
"Laura Gardiner","GEEL",4,0,0,0,59
"Darcy Moloney","GEEL",1,0,0,0,55
"Kate Darby","GEEL",1,27,0,0,51
"Chloe Scheer","GEEL",7,0,0,0,50
"Georgie Rankin","GEEL",0,0,0,0,48
"Rachel Kearns","GEEL",0,0,0,0,48
"Georgie Prespakis","GEEL",7,0,0,0,46
"Nina Morrison","GEEL",1,0,0,0,44
"Chantel Emonson","GEEL",0,0,0,0,40
"Julia Crockett-Grills","GEEL",0,0,0,0,38
"Sophie Van De Heuvel","GEEL",0,0,0,0,34
"Jordan Ivey","GEEL",0,0,2,2,32
"Gabbi Featherston","GEEL",0,0,0,0,24
"Meghan McDonald","GEEL",0,0,1,1,22
"Madeline Keryk","GEEL",0,0,1,0,21
"Madisen Maguire","GEEL",0,0,0,0,19
"Zali Friswell","GEEL",0,0,0,0,0
"Olivia Fuller","GEEL",0,0,0,0,0
"Annabel Johnson","GEEL",0,0,0,0,0
"Claudia Gunjaca","GEEL",0,0,0,0,0
"Rene Caris","GEEL",0,0,0,0,0
"Danielle Higgins","GEEL",0,0,0,0,0
"Georgia Clarke","GEEL",0,0,0,0,0
"Denby Taylor","GEEL",0,0,0,0,0
"Millie Brown","GEEL",0,0,0,0,0
"Renee Garing","GEEL",0,0,0,0,0
"Stephanie Williams","GEEL",0,0,0,0,0
"Carly Remmos","GEEL",0,0,0,0,0
"Alyce Parker","GWS",13,0,0,0,82
"Alicia Eva","GWS",13,0,0,0,76
"Tanya Hetherington","GWS",0,0,7,6,64
"Katie Loynes","GWS",9,0,0,0,60
"Nicola Barr","GWS",0,0,0,0,54
"Cora Staunton","GWS",0,0,0,0,44
"Rebecca Beeson","GWS",5,0,0,0,42
"Ally Dallaway","GWS",5,0,0,0,41
"Tait Mackrill","GWS",0,0,0,0,37
"Haneen Zreika","GWS",0,0,0,0,34
"Emily Pease","GWS",0,0,0,0,34
"Lisa Steane","GWS",0,0,0,0,34
"Erin McKinnon","GWS",15,43,0,0,30
"Annalyse Lister","GWS",0,0,0,0,29
"Pepa Randall","GWS",0,0,1,0,23
"Georgia Garnett","GWS",0,4,0,0,22
"Louise Stephenson","GWS",0,0,0,0,21
"Brid Stack","GWS",0,0,1,1,19
"Katherine Smith","GWS",0,0,0,0,11
"Erin Lorenzini","GWS",0,0,0,0,7
"Ally Morphett","GWS",0,0,0,0,0
"Chloe Dalton","GWS",0,0,0,0,0
"Rebecca Privitelli","GWS",0,0,0,0,0
"Jasmine Grierson","GWS",0,0,0,0,0
"Libby Graham","GWS",0,0,0,0,0
"Jessica Doyle","GWS",0,0,0,0,0
"Casidhe Simmons","GWS",0,0,0,0,0
"Georgina Fowler","GWS",0,0,0,0,0
"Jessica Allan","GWS",0,0,0,0,0
"Tarni Evans","GWS",0,0,0,0,0
"Emily Goodsir","GWS",0,0,0,0,0
"Ruby Sargent-Wilson","GWS",0,0,0,0,0
"Isadora McLeay","GWS",0,0,0,0,0
"Tanya Kennedy","GWS",0,0,0,0,0
"Brodee Mowbray","GWS",0,0,0,0,-5
"Lily Mithen","MELB",2,0,0,0,117
"Karen Paxman","MELB",1,0,0,0,93
"Olivia Purcell","MELB",3,0,0,0,70
"Eliza McNamara","MELB",0,0,0,0,56
"Tayla Harris","MELB",0,1,0,0,51
"Kate Hore","MELB",0,0,0,0,47
"Maddison Gay","MELB",0,0,2,1,46
"Libby Birch","MELB",0,0,0,0,44
"Lauren Pearce","MELB",9,40,0,0,44
"Shelley Heath","MELB",0,0,0,0,43
"Eden Zanker","MELB",8,1,0,0,41
"Tyla Hanks","MELB",7,0,0,0,39
"Casey Sherriff","MELB",0,0,0,0,36
"Jacqueline Parry","MELB",1,16,0,0,34
"Alyssa Bannan","MELB",0,0,0,0,33
"Sinead Goldrick","MELB",0,0,0,0,32
"Tahlia Gillard","MELB",0,0,0,0,30
"Eliza West","MELB",9,0,0,0,28
"Daisy Pearce","MELB",0,0,1,1,24
"Shelley Scott","MELB",0,0,0,0,21
"Sarah Lampard","MELB",0,0,2,1,18
"Megan Fitzsimon","MELB",0,0,0,0,0
"Gabrielle Colvin","MELB",0,0,0,0,0
"Lauren Magee","MELB",0,0,0,0,0
"Brenna Tarrant","MELB",0,0,0,0,0
"Alison Brown","MELB",0,0,0,0,0
"Maggie Caris","MELB",0,0,0,0,0
"Krstel Petrevski","MELB",0,0,0,0,0
"Jordan Zanchetta","MELB",0,0,0,0,0
"Isabella Simmons","MELB",0,0,0,0,0
"Maeve Chaplin","MELB",0,0,0,0,0
"Georgia Campbell","MELB",0,0,0,0,0
"Ashleigh Riddell","NMFC",9,0,0,0,101
"Jasmine Garner","NMFC",9,0,0,0,92
"Mia King","NMFC",5,0,0,0,75
"Jenna Bruton","NMFC",6,0,0,0,64
"Aileen Gilroy","NMFC",0,0,0,0,61
"Brooke Brown","NMFC",0,0,2,2,50
"Nicole Bresnehan","NMFC",0,0,0,0,48
"Isabella Eddey","NMFC",0,0,0,0,47
