"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",12,0,0,0,87
"Ebony Marinoff","ADEL",11,0,0,0,85
"Erin Phillips","ADEL",10,0,0,0,74
"Sarah Allan","ADEL",0,0,0,0,62
"Ashleigh Woodland","ADEL",0,0,0,0,57
"Maddi Newman","ADEL",0,0,1,1,56
"Stevie-Lee Thompson","ADEL",0,0,0,0,55
"Teah Charlton","ADEL",0,0,0,0,53
"Rachelle Martin","ADEL",2,0,0,0,50
"Caitlin Gould","ADEL",9,29,0,0,50
"Hannah Button","ADEL",1,0,0,0,50
"Chelsea Biddell","ADEL",0,0,3,2,40
"Lisa Whiteley","ADEL",0,0,0,0,36
"Danielle Ponter","ADEL",0,0,0,0,34
"Najwa Allen","ADEL",0,0,0,0,31
"Brooke Tonon","ADEL",0,0,0,0,31
"Justine Mules","ADEL",0,0,0,0,30
"Abbie Ballard","ADEL",0,0,0,0,29
"Marijana Rajcic","ADEL",0,0,0,0,27
"Montana McKinnon","ADEL",3,21,0,0,27
"Ailish Considine","ADEL",0,0,0,0,23
"Eloise Jones","ADEL",0,0,0,0,0
"Hannah Munyard","ADEL",0,0,0,0,0
"Nikki Gore","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Emily Bates","BL",11,0,0,0,86
"Alexandra Anderson","BL",11,0,0,0,79
"Natalie Grider","BL",0,0,0,0,75
"Sophie Conway","BL",0,0,0,0,68
"Maria Moloney","BL",0,0,0,0,62
"Greta Bodey","BL",0,0,0,0,54
"Courtney Hodder","BL",0,0,0,0,54
"Tahlia Hickie","BL",11,39,0,0,54
"Phoebe Monahan","BL",0,0,0,0,49
"Catherine Svarc","BL",11,0,0,0,47
"Dakota Davidson","BL",0,1,0,0,47
"Taylor Smith","BL",2,15,0,0,44
"Breanna Koenen","BL",0,0,0,0,39
"Isabel Dawes","BL",6,0,0,0,38
"Zimmorlei Farquharson","BL",0,0,0,0,36
"Jade Ellenger","BL",0,0,0,0,34
"Jesse Wardlaw","BL",0,4,0,0,32
"Lucinda Pullar","BL",0,0,0,0,28
"Ruby Svarc","BL",0,0,0,0,26
"Shannon Campbell","BL",0,0,2,2,22
"Indy Tahau","BL",0,0,0,0,1
"Orla O'Dwyer","BL",0,0,0,0,0
"Jessica Wuetschner","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Gabriella Pound","CARL",0,0,3,3,88
"Breann Moody","CARL",10,38,0,0,80
"Mimi Hill","CARL",9,0,0,0,76
"Jess Good","CARL",3,15,0,0,65
"Daisy Walker","CARL",0,0,0,0,61
"Courtney Jones","CARL",0,0,0,0,61
"Kerryn Harrington","CARL",0,0,1,1,58
"Paige Trudgeon","CARL",0,0,0,0,58
"Natalie Plane","CARL",0,0,0,0,57
"Grace Egan","CARL",5,1,0,0,57
"Vaomua Laloifi","CARL",0,0,0,0,55
"Nicola Stevens","CARL",0,0,0,0,52
"Madison Prespakis","CARL",5,0,0,0,51
