"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Ebony Marinoff","ADEL",9,0,0,0,147
"Anne Hatchard","ADEL",8,9,0,0,98
"Eloise Jones","ADEL",0,0,0,0,88
"Teah Charlton","ADEL",7,0,0,0,74
"Danielle Ponter","ADEL",0,0,0,0,69
"Ashleigh Woodland","ADEL",0,0,0,0,68
"Montana McKinnon","ADEL",7,25,0,0,50
"Erin Phillips","ADEL",1,2,0,0,46
"Caitlin Gould","ADEL",2,14,0,0,46
"Justine Mules","ADEL",0,0,0,0,45
"Hannah Munyard","ADEL",0,0,0,0,40
"Sarah Allan","ADEL",0,0,0,0,36
"Rachelle Martin","ADEL",0,0,0,0,35
"Hannah Button","ADEL",2,0,0,0,35
"Lisa Whiteley","ADEL",0,0,0,0,34
"Ailish Considine","ADEL",0,0,0,0,33
"Chelsea Biddell","ADEL",0,0,4,4,30
"Maddi Newman","ADEL",0,0,1,1,29
"Brooke Tonon","ADEL",0,0,0,0,18
"Najwa Allen","ADEL",0,0,0,0,16
"Marijana Rajcic","ADEL",0,0,0,0,16
"Stevie-Lee Thompson","ADEL",0,0,0,0,0
"Nikki Gore","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Emily Bates","BL",8,0,0,0,88
"Greta Bodey","BL",0,0,0,0,71
"Catherine Svarc","BL",11,0,0,0,71
"Tahlia Hickie","BL",12,34,0,0,67
"Orla O'Dwyer","BL",3,0,0,0,65
"Isabel Dawes","BL",8,0,0,0,61
"Sophie Conway","BL",0,0,0,0,57
"Alexandra Anderson","BL",9,0,0,0,56
"Natalie Grider","BL",0,0,0,0,56
"Breanna Koenen","BL",0,0,3,2,52
"Phoebe Monahan","BL",0,0,0,0,50
"Jade Ellenger","BL",0,0,0,0,48
"Shannon Campbell","BL",0,0,2,2,41
"Zimmorlei Farquharson","BL",0,0,0,0,38
"Courtney Hodder","BL",0,0,0,0,37
"Lucinda Pullar","BL",0,0,0,0,35
"Indy Tahau","BL",0,0,0,0,32
"Jesse Wardlaw","BL",0,5,0,0,31
"Luka Yoshida-Martin","BL",0,0,0,0,24
"Taylor Smith","BL",1,6,0,0,19
"Ruby Svarc","BL",0,0,0,0,17
"Jessica Wuetschner","BL",0,0,0,0,0
"Dakota Davidson","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Darcy Vescio","CARL",0,0,0,0,77
"Georgia Gee","CARL",0,0,0,0,72
"Madison Prespakis","CARL",5,0,0,0,67
"Kerryn Harrington","CARL",0,0,1,1,63
"Jessica Dal Pos","CARL",1,0,0,0,61
"Grace Egan","CARL",4,0,0,0,59
"Breann Moody","CARL",7,29,0,0,56
"Keeley Sherar","CARL",2,0,0,0,55
"Gabriella Pound","CARL",0,0,1,1,52
"Mimi Hill","CARL",8,0,0,0,50
"Lucy McEvoy","CARL",0,0,0,0,49
"Nicola Stevens","CARL",0,0,0,0,49
"Vaomua Laloifi","CARL",0,0,0,0,44
"Courtney Jones","CARL",0,0,0,0,43
"Natalie Plane","CARL",0,0,0,0,39
"Jess Good","CARL",3,12,0,0,37
"Daisy Walker","CARL",0,0,0,0,36
"Paige Trudgeon","CARL",0,0,0,0,35
"Madeline Guerin","CARL",8,0,0,0,32
"Abbie McKay","CARL",0,0,0,0,30
"Elise O'Dea","CARL",2,1,0,0,28
"Lauren Brazzale","CARL",0,0,0,0,0
"Brooke Walker","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Charlotte Wilson","CARL",0,0,0,0,0
"Annie Lee","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Jaimee Lambert","COLL",11,0,0,0,96
"Ruby Schleicher","COLL",0,0,0,0,72
"Brittany Bonnici","COLL",11,0,0,0,69
"Alison Downie","COLL",9,41,0,0,56
"Aliesha Newman","COLL",0,0,0,0,54
"Mikala Cann","COLL",1,0,0,0,53
"Sarah Rowe","COLL",0,0,0,0,50
"Eliza James","COLL",0,0,0,0,45
"Tarni Brown","COLL",3,0,0,0,43
"Sophie Alexander","COLL",0,3,0,0,42
"Lauren Butler","COLL",0,0,2,1,36
"Amelia Velardo","COLL",0,0,0,0,36
"Alana Porter","COLL",0,0,0,0,36
"Jordyn Allen","COLL",0,0,0,0,27
"Eloise Chaston","COLL",0,0,0,0,24
"Chloe Molloy","COLL",10,0,0,0,23
"Stacey Livingstone","COLL",0,0,0,0,23
"Aishling Sheridan","COLL",0,0,0,0,22
"Sophie Casey","COLL",0,0,0,0,18
"Erica Fowler","COLL",0,0,0,0,16
"Bella Smith","COLL",3,16,0,0,13
"Stephanie Chiocci","COLL",0,0,0,0,0
"Sabrina Frederick","COLL",0,0,0,0,0
