"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",13,1,0,0,94
"Ebony Marinoff","ADEL",16,0,0,0,87
"Erin Phillips","ADEL",15,7,0,0,71
"Caitlin Gould","ADEL",7,25,0,0,70
"Teah Charlton","ADEL",0,0,0,0,64
"Hannah Button","ADEL",5,0,0,0,62
"Ashleigh Woodland","ADEL",0,0,0,0,58
"Hannah Munyard","ADEL",0,0,0,0,51
"Najwa Allen","ADEL",0,0,0,0,47
"Stevie-Lee Thompson","ADEL",0,0,0,0,45
"Sarah Allan","ADEL",0,0,0,0,44
"Rachelle Martin","ADEL",3,0,0,0,39
"Montana McKinnon","ADEL",11,28,0,0,39
"Eloise Jones","ADEL",0,0,0,0,38
"Maddi Newman","ADEL",0,0,0,0,33
"Lisa Whiteley","ADEL",0,0,0,0,32
"Justine Mules","ADEL",0,0,0,0,28
"Chelsea Biddell","ADEL",0,0,1,1,26
"Danielle Ponter","ADEL",2,0,0,0,26
"Marijana Rajcic","ADEL",0,0,0,0,24
"Ailish Considine","ADEL",0,0,0,0,11
"Nikki Gore","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Tahlia Hickie","BL",9,37,0,0,62
"Emily Bates","BL",10,0,0,0,60
"Orla O'Dwyer","BL",0,0,0,0,60
"Greta Bodey","BL",0,0,0,0,59
"Ruby Svarc","BL",0,0,0,0,59
"Alexandra Anderson","BL",6,0,0,0,52
"Isabel Dawes","BL",7,0,0,0,51
"Sophie Conway","BL",0,0,0,0,50
"Natalie Grider","BL",0,0,0,0,45
"Lucinda Pullar","BL",0,0,0,0,45
"Catherine Svarc","BL",10,0,0,0,41
"Breanna Koenen","BL",0,0,1,1,40
"Taylor Smith","BL",2,5,0,0,40
"Courtney Hodder","BL",0,0,0,0,38
"Jesse Wardlaw","BL",0,4,0,0,31
"Jade Ellenger","BL",0,0,0,0,30
"Phoebe Monahan","BL",0,0,0,0,27
"Luka Yoshida-Martin","BL",0,0,0,0,20
"Dakota Davidson","BL",0,1,0,0,15
"Indy Tahau","BL",0,0,1,1,12
"Sharni Webb","BL",0,0,0,0,2
"Shannon Campbell","BL",0,0,0,0,0
"Jessica Wuetschner","BL",0,0,0,0,0
"Zimmorlei Farquharson","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Mimi Hill","CARL",8,0,0,0,89
"Grace Egan","CARL",5,0,0,0,78
"Madison Prespakis","CARL",9,0,0,0,72
"Breann Moody","CARL",9,47,0,0,67
"Gabriella Pound","CARL",0,0,6,6,65
"Jess Good","CARL",3,12,0,0,52
"Lucy McEvoy","CARL",0,0,0,0,47
"Kerryn Harrington","CARL",0,0,2,2,42
"Vaomua Laloifi","CARL",0,0,0,0,42
"Abbie McKay","CARL",7,0,0,0,41
"Elise O'Dea","CARL",7,0,0,0,40
"Darcy Vescio","CARL",0,0,0,0,36
"Brooke Walker","CARL",0,0,0,0,34
"Lauren Brazzale","CARL",0,0,0,0,33
"Georgia Gee","CARL",0,0,0,0,32
"Paige Trudgeon","CARL",0,0,0,0,32
"Natalie Plane","CARL",0,0,0,0,31
"Daisy Walker","CARL",0,0,0,0,30
"Nicola Stevens","CARL",0,1,0,0,28
"Jessica Dal Pos","CARL",0,0,0,0,27
"Charlotte Wilson","CARL",0,0,0,0,8
"Courtney Jones","CARL",0,0,0,0,0
"Keeley Sherar","CARL",0,0,0,0,0
"Madeline Guerin","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Annie Lee","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Brittany Bonnici","COLL",12,0,0,0,107
"Mikala Cann","COLL",1,0,0,0,83
"Sarah Rowe","COLL",0,0,0,0,80
"Jaimee Lambert","COLL",13,0,0,0,77
"Chloe Molloy","COLL",10,0,0,0,73
"Lauren Butler","COLL",0,0,2,1,71
"Ruby Schleicher","COLL",0,0,0,0,63
"Amelia Velardo","COLL",0,0,0,0,56
"Jordyn Allen","COLL",0,0,2,1,52
"Bella Smith","COLL",5,17,0,0,50
"Aishling Sheridan","COLL",1,0,0,0,43
"Sophie Alexander","COLL",0,2,0,0,38
"Eliza James","COLL",0,0,0,0,34
"Stacey Livingstone","COLL",0,0,0,0,33
"Erica Fowler","COLL",0,0,0,0,33
"Sophie Casey","COLL",0,0,0,0,31
"Eloise Chaston","COLL",0,0,0,0,24
"Alison Downie","COLL",9,30,0,0,23
"Imogen Barnett","COLL",0,0,0,0,22
"Ebony O'Dea","COLL",5,0,0,0,17
"Alana Porter","COLL",0,0,0,0,10
"Stephanie Chiocci","COLL",0,0,0,0,0
"Sabrina Frederick","COLL",0,0,0,0,0
"Tarni Brown","COLL",0,0,0,0,0
"Brianna Davey","COLL",0,0,0,0,0
"Aliesha Newman","COLL",0,0,0,0,0
"Jordan Membrey","COLL",0,0,0,0,0
"Ashleigh Brazill","COLL",0,0,0,0,0
"Olivia Meagher","COLL",0,0,0,0,0
"Joanna Lin","COLL",0,0,0,0,0
"Abbi Moloney","COLL",0,0,0,0,0
"Imogen Purcell","COLL",0,0,0,0,0
"Hayley Miller","FRE",9,0,0,0,108
"Gabby O'Sullivan","FRE",11,0,0,0,95
"Mikayla Morrison","FRE",1,0,0,0,79
"Mikayla Hyde","FRE",0,0,0,0,72
"Dana East","FRE",9,0,0,0,60
"Airlie Runnalls","FRE",0,0,0,0,58
"Stephanie Cain","FRE",0,0,0,0,57
"Emma O'Driscoll","FRE",0,0,0,0,56
"Aine Tighe","FRE",0,0,0,0,51
"Jasmin Stewart","FRE",0,0,0,0,50
"Ebony Antonio","FRE",0,0,0,0,49
"Mim Strom","FRE",10,43,0,0,45
"Kara Antonio","FRE",0,0,0,0,42
"Laura Pugh","FRE",0,0,2,2,40
