"player_id","player_name","games","percRC","hitouts","tog","FP","FP_PC","FP_PC_perc","FP_PC_Min"
"CD_I290528","Max Gawn",33,0.629237288135593,1013,89.0909090909091,110.121212121212,59.1212121212121,0.536873968079251,0.535774921806657
"CD_I992468","Rowan Marshall",20,0.523696682464455,369,75.4,86.2,49.3,0.571925754060325,0.535427982628457
"CD_I1004592","Tim English",27,0.556434818825489,451,82.5925925925926,84.7407407407407,52.2962962962963,0.617132867132867,0.508290651297794
"CD_I293957","Brodie Grundy",25,0.783770410687778,811,82.72,104.76,49.36,0.471172203130966,0.489546716370689
"CD_I998145","Sean Darcy",26,0.640559440559441,727,79.5384615384615,91.6538461538462,45.5,0.496433067561897,0.467555175199472
"CD_I997142","Peter Ladhams",22,0.497826086956522,355,79.8636363636364,74.3181818181818,46.0454545454545,0.619571865443425,0.46456250983603
"CD_I280317","Rhys Stanley",26,0.585503472222222,548,76,76.9230769230769,43.3846153846154,0.564,0.456085035599297
"CD_I261323","Ben McEvoy",23,0.45089058524173,386,82.3478260869565,79.7826086956522,44.7826086956522,0.561307901907357,0.444452467282941
"CD_I1009399","Luke Jackson",31,0.312264860797592,322,75.8064516129032,63.5806451612903,41.5161290322581,0.65296803652968,0.442427629393466
"CD_I298174","Toby Nankervis",24,0.668440659925492,570,75.4583333333333,83.8333333333333,40.25,0.480119284294235,0.435993505532213
"CD_I294266","Tom Hickey",23,0.77020202020202,557,80.4782608695652,81.6086956521739,40.695652173913,0.498668087373468,0.401573401196569
"CD_I296733","Mark Blicavs",32,0.297643797643798,389,87.65625,74.125,43.6875,0.5893760539629,0.397650750665347
"CD_I290746","Scott Lycett",23,0.679187817258883,601,80.6086956521739,83,38.1304347826087,0.459402828706129,0.382314989188812
"CD_I993902","Matt Flynn",18,0.525047558655675,354,73.0555555555556,67.9444444444444,34.5,0.507767784137367,0.377008816501937
"CD_I271129","Todd Goldstein",30,0.650913423351867,820,88.9666666666667,78.5,38.7,0.492993630573248,0.354999515353805
"CD_I250267","Paddy Ryder",16,0.60361718161266,455,73.75,72.0625,31.375,0.435385949696444,0.350655587409229
"CD_I291975","Jarrod Witts",11,0.770339855818744,386,77.7272727272727,87.3636363636364,32.3636363636364,0.370447450572321,0.33521394213793
"CD_I1004912","Tom De Koning",19,0.549206349206349,313,78.7894736842105,62.2631578947368,32,0.513947590870668,0.330678448295007
"CD_I297523","Reilly O'Brien",28,0.820449897750511,846,89.5714285714286,85.4285714285714,35.3214285714286,0.413461538461538,0.315686977475942
"CD_I271045","Nic Naitanui",25,0.699237368922784,776,68,82,25.08,0.305853658536585,0.295226975552664
"CD_I1005521","Oscar McInerney",30,0.695775647852325,812,81.4,75.5333333333333,27.5333333333333,0.364518976169462,0.263765192776644
"CD_I298290","Marc Pittonet",17,0.744186046511628,473,82.1176470588235,67.7058823529412,26.2941176470588,0.388357949609036,0.253519569073448
"CD_I1005577","Sam Draper",21,0.703290246768508,536,77.7142857142857,61.7142857142857,23.0952380952381,0.374228395061728,0.242947428180232
